product_name,total_sales
Canon PC1060 Personal Laser Copier,298475.62
Apple iPhone 5,282805.9
ImationÂ 16GB Mini TravelDrive USB 2.0Â Flash Drive,222213.87
Canon Imageclass D680 Copier / Fax,221756.7
Okidata MB760 Printer,221601.6
LogitechÂ Z-906 Speaker sys - home theater - 5.1-CH,174234.72
GuestStacker Chair with Chrome Finish Legs,171604.07
Plantronics Savi W720 Multi-Device Wireless Headset System,153037.23
Chromcraft Rectangular Conference Tables,150144.06
Bretford Rectangular Conference Table Tops,144132.81
